return_1d,return_5d,return_10d,log_return,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,volatility_5,volatility_10,volatility_20,rsi_14,macd,macd_sig,macd_hist,bb_pos,high_low_range,close_open,volume_z,return_lag_1,return_lag_2,return_lag_3,return_lag_5,target,date
0.0006073861331044039,-0.01123111737974991,-0.04504422004071773,0.0006072017488049268,0.00039880040229345326,0.014462796446254256,0.02953259445498313,0.06198382190034235,0.015930629815017694,0.03402054963427492,0.0042439539659099865,0.008486376573896793,0.007595235554064915,24.292519029850936,-20.72037317591503,-16.9364311090906,-3.78394206682443,-0.7259351004986853,0.010578403473219365,-0.0055185846453497805,-0.5941348329218433,0.0004339901142222935,0.0012166720026682842,-0.008102770978263951,0.0019758172634332105,0,2015-03-16
-0.004335385232212996,-0.01017147401615337,-0.046262417916839715,-0.004344810265399723,0.0026996003135579816,0.014029389571923678,0.03141160389732023,0.06595135642297323,0.017222209394391674,0.03561192605985575,0.004068152811378075,0.008470212114316688,0.007059659811397008,19.25330742532202,-21.050296726481747,-17.75920423256883,-3.2910924939129167,-0.7371410680771032,0.012104765089869386,-0.004594250060659508,-0.4551738271642667,0.0006073861331044039,0.0004339901142222935,0.0012166720026682842,-0.0054012763170935285,1,2015-03-17
0.002699621574606015,0.0006083890430990113,-0.04097947040842109,0.0026959841412746766,0.00012158262237860207,0.0070262097062752105,0.026537236162369693,0.062169505555874194,0.01225488279591902,0.03034703618471757,0.0026508100513771117,0.008782875818042322,0.007070885563575495,13.715829525764008,-20.821602917631708,-18.371683969581404,-2.4499189480503034,-0.6051764451456906,0.02371030766828215,0.002350547015722385,-0.18342687803536242,-0.004335385232212996,0.0006073861331044039,0.0004339901142222935,-0.008102770978263951,1,2015-03-18
0.015372547156998984,0.014755663883556647,-0.022409940865463107,0.015255586684473977,-0.012111847774526896,-0.010512341360014332,0.009370475940579048,0.045229679824108526,-0.0025980170346580067,0.013636541900029941,0.007357371152020814,0.010725414457518916,0.007874490597356471,27.08117341275924,-18.99318171558957,-18.49598351878304,-0.4971981968065329,-0.22197562926895278,0.010520851094576355,-0.0021338341175277907,-0.6354195457152744,0.002699621574606015,-0.004335385232212996,0.0006073861331044039,0.0012166720026682842,1,2015-03-19
0.013429196450302605,0.02793690258913828,0.01778204078371215,0.013339824035723362,-0.01976706496122671,-0.021877146250078083,-0.004832080175712017,0.03094357215552379,-0.01338148767584535,0.00018920117449505724,0.00844624180774818,0.007507161813912644,0.008549477957822993,39.167521267574806,-16.091783971415225,-18.015143609309476,1.9233596378942508,0.1190761901751344,0.012153970138932248,0.011784841014624252,-0.5419201982822789,0.015372547156998984,0.002699621574606015,-0.004335385232212996,0.0004339901142222935,1,2015-03-20
0.002700836461848599,0.0300875311738118,0.018518497199782047,0.002697195756877651,-0.016565640125210446,-0.022693600638546974,-0.008030305085358735,0.02782322739109855,-0.013571213752938793,-0.0023165920362370196,0.008190751787107521,0.007512906315004119,0.008561174046002032,42.39545137518885,-13.37996018695344,-17.088106924838268,3.708146737884828,0.20193422251926993,0.005723946825021043,0.005416405337084426,-0.7699004651111809,0.013429196450302605,0.015372547156998984,0.002699621574606015,0.0006073861331044039,1,2015-03-23
0.003114437013362892,0.037794914654964096,0.027239010646455064,0.0031095972006652695,-0.01233527882368346,-0.02307623755865096,-0.011328319063968473,0.024224253734171697,-0.014074571064754404,-0.005007655680745571,0.006317466119653694,0.0070693055961821875,0.008579535628220723,45.78198382512303,-10.807680943969672,-15.83202172866455,5.024340784694878,0.2880200446928883,0.0058739618081854,0.0031144370133627947,1.5938909844943612,0.002700836461848599,0.013429196450302605,0.015372547156998984,-0.004335385232212996,1,2015-03-24
0.0046992513935602,0.03986453312559268,0.04049717531385344,0.0046882443814050614,-0.009287600009869279,-0.023753476908596305,-0.0161071174340216,0.018842349761150734,-0.015811030585868413,-0.008936822595603244,0.0059999020737778455,0.005964625215899591,0.008612468862149185,50.65790454239254,-8.222466556586596,-14.31011069424896,6.087644137662364,0.4145488482899921,0.005595883152625505,0.004025198178721174,-0.7246442104850724,0.003114437013362892,0.002700836461848599,0.013429196450302605,0.002699621574606015,1,2015-03-25
0.006514596541983497,0.03079291827198727,0.046002952107559114,0.006493468269733934,-0.00972530988346143,-0.025674190064827518,-0.022662002988397933,0.011763354371917334,-0.018768433685462438,-0.014201017737320187,0.0043323958369256175,0.005927243823193732,0.00858503524385088,74.87859653672373,-5.4810939868561945,-12.544307352770408,7.063213365914214,0.59476862852861,0.012862003413835994,0.005758658567223335,-0.21068808968604355,0.0046992513935602,0.003114437013362892,0.002700836461848599,0.015372547156998984,0,2015-03-26
-0.004397914584004181,0.012660364096740429,0.04095095804439253,-0.004407613858515569,-0.0028505115903711964,-0.01743626511660379,-0.018878186286329757,0.015655896439449757,-0.012213267011614737,-0.009109180139485917,0.004149111884820025,0.006469031162952574,0.008610608086732013,69.55504382097531,-3.6936185355611997,-10.774169589328567,7.080551053767367,0.5124589331018031,0.002917152740090766,0.002339222078634085,4.248518366228017,0.006514596541983497,0.0046992513935602,0.003114437013362892,0.013429196450302605,0,2015-03-27
