model,split,accuracy,precision,recall,f1,roc_auc
LSTM,val,0.4963144963144963,0.5210727969348659,0.6296296296296297,0.570230607966457,0.5223967422920303
LSTM,test,0.5759803921568627,0.6410256410256411,0.6276150627615062,0.6342494714587738,0.5538610086405388
GRU,val,0.5135135135135135,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.5488413806476633
GRU,test,0.5465686274509803,0.6015037593984962,0.6694560669456067,0.6336633663366337,0.5569805154613652
