feature,mean_abs_shap
return_lag_2,0.001577778050467673
macd,0.0014445184512997984
macd_sig,0.0010269594109010836
macd_hist,0.0009194658743805102
return_1d,0.000873159700560664
return_lag_3,0.0008577419807014226
sma_50,0.0008571567802361311
ema_12,0.0007108119130620174
sma_20,0.000686804157450624
bb_pos,0.0006301293201185509
ema_26,0.0006030729176184984
return_10d,0.0005715217878488616
volatility_20,0.0005366726654717917
sma_10,0.0005072605538247799
close_open,0.0005053418658786705
volume_z,0.0004785043686946426
high_low_range,0.00045787887992362593
volatility_10,0.00045174302413542174
return_5d,0.0004450441092314891
log_return,0.00043601011444878364
return_lag_5,0.00042047424984582025
rsi_14,0.0003922734019435454
volatility_5,0.00038714009732380126
sma_5,0.00033911689661782326
return_lag_1,0.00031701242689684386
